CONFED,NAME,SLUG,SOURCE_PAGE,PNG_URL,PNG_PATH,SVG_URL,SVG_PATH,STATUS,ERROR,SHA1
UEFA,🇭🇷 Croatia,croatia,https://football-logos.cc/croatia/croatia-national-team/,https://assets.football-logos.cc/logos/croatia/1500x1500/croatia-national-team.88f85184.png,C:\Temp\national-badges\UEFA\croatia.png,https://assets.football-logos.cc/logos/croatia/svg/croatia-national-team.88f85184.svg,,ok,,20a6847ff4e8ecc997b220e9241345cda27e2028
UEFA,🇭🇺 Hungary,hungary,https://football-logos.cc/hungary/hungary-national-team/,https://assets.football-logos.cc/logos/hungary/1500x1500/hungary-national-team.59a1598b.png,C:\Temp\national-badges\UEFA\hungary.png,https://assets.football-logos.cc/logos/hungary/svg/hungary-national-team.59a1598b.svg,,ok,,63b5cbbf6a3230aa5e48c601797d3aa2b3e8561b
UEFA,🇮🇪 Republic of Ireland,republic-of-ireland,https://football-logos.cc/republic-of-ireland/republic-of-ireland-national-team/,https://assets.football-logos.cc/logos/republic-of-ireland/1500x1500/republic-of-ireland-national-team.8f71fe62.png,C:\Temp\national-badges\UEFA\republic-of-ireland.png,https://assets.football-logos.cc/logos/republic-of-ireland/svg/republic-of-ireland-national-team.8f71fe62.svg,,ok,,8f140cce82b49f9b646677816776e5044b84e355
UEFA,🇮🇱 Israel,israel,https://football-logos.cc/israel/israel-national-team/,https://assets.football-logos.cc/logos/israel/1500x1500/israel-national-team.a02a42ed.png,C:\Temp\national-badges\UEFA\israel.png,https://assets.football-logos.cc/logos/israel/svg/israel-national-team.a02a42ed.svg,,ok,,5281adce6a0b8910383c5c2a007bf09eec5bc18e
UEFA,🇮🇸 Iceland,iceland,https://football-logos.cc/iceland/iceland-national-team/,https://assets.football-logos.cc/logos/iceland/1500x1500/iceland-national-team.5e5f589d.png,C:\Temp\national-badges\UEFA\iceland.png,https://assets.football-logos.cc/logos/iceland/svg/iceland-national-team.5e5f589d.svg,,ok,,64b67e36529fb757372ebec23dd6f87af8af8f18
UEFA,🇮🇹 Italy,italy,https://football-logos.cc/italy/italy-national-team/,https://assets.football-logos.cc/logos/italy/1500x1500/italy-national-team.d5e3eef1.png,C:\Temp\national-badges\UEFA\italy.png,https://assets.football-logos.cc/logos/italy/svg/italy-national-team.d5e3eef1.svg,,ok,,acfd341fedf4b455e571562f50809a24c84f8978
UEFA,🇰🇿 Kazakhstan,kazakhstan,https://football-logos.cc/kazakhstan/kazakhstan-national-team/,https://assets.football-logos.cc/logos/kazakhstan/1500x1500/kazakhstan-national-team.d14ad72e.png,C:\Temp\national-badges\UEFA\kazakhstan.png,https://assets.football-logos.cc/logos/kazakhstan/svg/kazakhstan-national-team.d14ad72e.svg,,ok,,f75e46d42c622acd144334d0fdff56066fe58f06
UEFA,🇱🇮 Liechtenstein,liechtenstein,https://football-logos.cc/liechtenstein/liechtenstein-national-team/,https://assets.football-logos.cc/logos/liechtenstein/1500x1500/liechtenstein-national-team.92b68d30.png,C:\Temp\national-badges\UEFA\liechtenstein.png,https://assets.football-logos.cc/logos/liechtenstein/svg/liechtenstein-national-team.92b68d30.svg,,ok,,4bc60507bba96fe22bfd2b09c28b706762ed6c85
UEFA,🇱🇹 Lithuania,lithuania,https://football-logos.cc/lithuania/lithuania-national-team/,https://assets.football-logos.cc/logos/lithuania/1500x1500/lithuania-national-team.fb800aba.png,C:\Temp\national-badges\UEFA\lithuania.png,https://assets.football-logos.cc/logos/lithuania/svg/lithuania-national-team.fb800aba.svg,,ok,,30fc50d54fe123e752004ba3ca582ea00597c3e8
UEFA,🇱🇺 Luxembourg,luxembourg,https://football-logos.cc/luxembourg/luxembourg-national-team/,https://assets.football-logos.cc/logos/luxembourg/1500x1500/luxembourg-national-team.ca2703c4.png,C:\Temp\national-badges\UEFA\luxembourg.png,https://assets.football-logos.cc/logos/luxembourg/svg/luxembourg-national-team.ca2703c4.svg,,ok,,874e21d5782ed4ed4f0e44604fc7ae08d64caa70
